date,number_of_checks-no_verification,os-se,count-nombre
2021-02-28,0,android,<20
2021-02-28,0,ios,<20
2021-02-28,1-6,android,24656
2021-02-28,1-6,ios,4005
2021-02-28,7-12,android,2053
2021-02-28,7-12,ios,1240
2021-02-28,13-30,android,101
2021-02-28,13-30,ios,<20
2021-02-28,30+,android,<20
2021-02-28,30+,ios,<20
2021-03-31,0,android,<20
2021-03-31,0,ios,<20
2021-03-31,1-6,android,15565291
2021-03-31,1-6,ios,43255149
2021-03-31,7-12,android,967702
2021-03-31,7-12,ios,20900181
2021-03-31,13-30,android,1912
2021-03-31,13-30,ios,922
2021-03-31,30+,android,22
2021-03-31,30+,ios,35
2021-04-30,0,android,<20
2021-04-30,0,ios,<20
2021-04-30,1-6,android,19100637
2021-04-30,1-6,ios,42498454
2021-04-30,7-12,android,1223866
2021-04-30,7-12,ios,27516758
2021-04-30,13-30,android,1919
2021-04-30,13-30,ios,18292
2021-04-30,30+,android,<20
2021-04-30,30+,ios,<20
2021-05-31,0,android,<20
2021-05-31,0,ios,<20
2021-05-31,1-6,android,19141526
2021-05-31,1-6,ios,14842043
2021-05-31,7-12,android,2289311
2021-05-31,7-12,ios,56190868
2021-05-31,13-30,android,7219
2021-05-31,13-30,ios,188660
2021-05-31,30+,android,<20
2021-05-31,30+,ios,<20
2021-06-30,0,android,<20
2021-06-30,0,ios,<20
2021-06-30,1-6,android,22107587
2021-06-30,1-6,ios,13527393
2021-06-30,7-12,android,3542950
2021-06-30,7-12,ios,52244295
2021-06-30,13-30,android,11214
2021-06-30,13-30,ios,151616
2021-06-30,30+,android,<20
2021-06-30,30+,ios,<20
2021-07-31,0,android,<20
2021-07-31,0,ios,<20
2021-07-31,1-6,android,21018418
2021-07-31,1-6,ios,14124699
2021-07-31,7-12,android,4184310
2021-07-31,7-12,ios,49465462
2021-07-31,13-30,android,58791
2021-07-31,13-30,ios,117032
2021-07-31,30+,android,<20
2021-07-31,30+,ios,<20
2021-08-31,0,android,<20
2021-08-31,0,ios,<20
2021-08-31,1-6,android,19515815
2021-08-31,1-6,ios,28157539
2021-08-31,7-12,android,4261263
2021-08-31,7-12,ios,20904898
2021-08-31,13-30,android,104762
2021-08-31,13-30,ios,40871
2021-08-31,30+,android,<20
2021-08-31,30+,ios,<20
2021-09-30,0,android,<20
2021-09-30,0,ios,<20
2021-09-30,1-6,android,18081501
2021-09-30,1-6,ios,15737894
2021-09-30,7-12,android,3904298
2021-09-30,7-12,ios,44592190
2021-09-30,13-30,android,92335
2021-09-30,13-30,ios,69548
2021-09-30,30+,android,<20
2021-09-30,30+,ios,<20
2021-10-31,0,android,<20
2021-10-31,0,ios,<20
2021-10-31,1-6,android,18046521
2021-10-31,1-6,ios,13054047
2021-10-31,7-12,android,3861380
2021-10-31,7-12,ios,48531181
2021-10-31,13-30,android,89199
2021-10-31,13-30,ios,71236
2021-10-31,30+,android,<20
2021-10-31,30+,ios,<20
2021-11-30,0,android,<20
2021-11-30,0,ios,<20
2021-11-30,1-6,android,17443850
2021-11-30,1-6,ios,13325350
2021-11-30,7-12,android,3587046
2021-11-30,7-12,ios,47254870
2021-11-30,13-30,android,76519
2021-11-30,13-30,ios,60419
2021-11-30,30+,android,<20
2021-11-30,30+,ios,<20
2021-12-31,0,android,<20
2021-12-31,0,ios,<20
2021-12-31,1-6,android,17759923
2021-12-31,1-6,ios,14703381
2021-12-31,7-12,android,3516841
2021-12-31,7-12,ios,47477144
2021-12-31,13-30,android,78065
2021-12-31,13-30,ios,57808
2021-12-31,30+,android,<20
2021-12-31,30+,ios,<20
2022-01-31,0,android,<20
2022-01-31,0,ios,<20
2022-01-31,1-6,android,17543646
2022-01-31,1-6,ios,14674743
2022-01-31,7-12,android,3389627
2022-01-31,7-12,ios,46779987
2022-01-31,13-30,android,71064
2022-01-31,13-30,ios,51159
2022-01-31,30+,android,<20
2022-01-31,30+,ios,<20
2022-02-28,0,android,<20
2022-02-28,0,ios,<20
2022-02-28,1-6,android,15490227
2022-02-28,1-6,ios,13023484
2022-02-28,7-12,android,2195308
2022-02-28,7-12,ios,40455213
2022-02-28,13-30,android,49381
2022-02-28,13-30,ios,37546
2022-02-28,30+,android,<20
2022-02-28,30+,ios,<20
2022-03-31,0,android,<20
2022-03-31,0,ios,<20
2022-03-31,1-6,android,15914727
2022-03-31,1-6,ios,13141597
2022-03-31,7-12,android,2008784
2022-03-31,7-12,ios,43227857
2022-03-31,13-30,android,47187
2022-03-31,13-30,ios,33667
2022-03-31,30+,android,<20
2022-03-31,30+,ios,<20
2022-04-30,0,android,<20
2022-04-30,0,ios,<20
2022-04-30,1-6,android,14202937
2022-04-30,1-6,ios,12668750
2022-04-30,7-12,android,1706758
2022-04-30,7-12,ios,39189933
2022-04-30,13-30,android,40058
2022-04-30,13-30,ios,26853
2022-04-30,30+,android,<20
2022-04-30,30+,ios,<20
